,0
Start,2020-01-02 00:00:00
End,2021-07-29 00:00:00
Duration,574 days 00:00:00
Exposure Time [%],61.20906801007556
Equity Final [$],1537.430885547638
Equity Peak [$],1604.4308550300598
Return [%],53.74308855476379
Buy & Hold Return [%],93.96037480279406
Return (Ann.) [%],31.392479325831644
Volatility (Ann.) [%],30.885733704884238
Sharpe Ratio,1.0164071096963214
Sortino Ratio,2.0871600391498104
Calmar Ratio,1.9159049826251406
Max. Drawdown [%],-16.385196348734475
Avg. Drawdown [%],-3.5116989819339457
Max. Drawdown Duration,304 days 00:00:00
Avg. Drawdown Duration,32 days 00:00:00
# Trades,15
Win Rate [%],60.0
Best Trade [%],21.95090423525412
Worst Trade [%],-5.042398375470169
Avg. Trade [%],3.0541037745699384
Max. Trade Duration,61 days 00:00:00
Avg. Trade Duration,22 days 00:00:00
Profit Factor,3.5399685307950057
Expectancy [%],3.3136567644514314
SQN,1.6640043295771256
_strategy,MyStrategy
_equity_curve,"                 Equity  DrawdownPct DrawdownDuration
Date                                                 
2020-01-02  1000.000000     0.000000              NaT
2020-01-03  1000.000000     0.000000              NaT
2020-01-06  1000.000000     0.000000              NaT
2020-01-07   990.594555     0.009405              NaT
2020-01-08   990.594555     0.009405              NaT
...                 ...          ...              ...
2021-07-23  1537.430886     0.041759              NaT
2021-07-26  1537.430886     0.041759              NaT
2021-07-27  1537.430886     0.041759              NaT
2021-07-28  1537.430886     0.041759              NaT
2021-07-29  1537.430886     0.041759          15 days

[397 rows x 3 columns]"
_trades,"    Size  EntryBar  ExitBar  EntryPrice   ExitPrice         PnL  ReturnPct  \
0     13         2        3   75.320999   74.597504   -9.405445  -0.009605   
1     13         4       16   76.172698   77.237503   13.842463   0.013979   
2     12        18       20   81.486370   77.377502  -49.306409  -0.050424   
3     11        24       31   81.704945   79.750000  -21.504398  -0.023927   
4     14        58       99   64.929820   79.182503  199.537557   0.219509   
5     13       108      122   83.777655   88.407501   60.188006   0.055264   
6     12       129      136   95.814444   96.327499    6.156663   0.005355   
7     11       146      170  106.785989  120.879997  155.034089   0.131984   
8     11       187      203  114.654742  116.870003   24.367870   0.019321   
9     11       214      226  119.619197  113.849998  -63.461187  -0.048230   
10    10       231      253  123.327465  129.410004   60.825384   0.049320   
11    10       265      271  137.547502  131.960007  -55.874949  -0.040622   
12    10       301      332  124.603748  133.580002   89.762535   0.072038   
13    11       351      354  127.528157  124.610001  -32.099715  -0.022882   
14    10       358      388  126.513155  142.449997  159.368421   0.125970   

    EntryTime   ExitTime Duration  
0  2020-01-06 2020-01-07   1 days  
1  2020-01-08 2020-01-27  19 days  
2  2020-01-29 2020-01-31   2 days  
3  2020-02-06 2020-02-18  12 days  
4  2020-03-26 2020-05-26  61 days  
5  2020-06-08 2020-06-26  18 days  
6  2020-07-08 2020-07-17   9 days  
7  2020-07-31 2020-09-03  34 days  
8  2020-09-29 2020-10-21  22 days  
9  2020-11-05 2020-11-23  18 days  
10 2020-12-01 2021-01-04  34 days  
11 2021-01-21 2021-01-29   8 days  
12 2021-03-15 2021-04-28  44 days  
13 2021-05-25 2021-05-28   3 days  
14 2021-06-04 2021-07-19  45 days  "
